Frame number,objects entered,objects exited
1,"34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1","34, 33, 30, 28"
2,"37, 35","37, 35, 32, 29, 25, 23, 22, 21, 19, 16, 14"
3,"115, 105, 104, 95, 90, 89, 88, 83, 82, 57, 45","105, 104"
4,110,
5,,88
6,,
7,108,
8,,88
9,116,
10,"120, 117","120, 110"
11,118,
12,,"118, 117, 116, 115, 108, 95, 90, 89, 83, 82, 57, 45"
13,39,"39, 37, 32, 29, 25, 23, 22, 21, 19, 16, 14, 5"
14,,
15,,
16,122,117
17,,5
18,124,26
19,125,
20,,124
21,123,9
22,,"110, 7"
23,126,"126, 125, 123, 122, 118, 116, 115, 108, 95, 90, 89, 83, 82, 57, 45, 31"
24,36,"39, 37, 36, 33, 32, 29, 26, 25, 23, 22, 21, 19, 16, 14, 7, 5"
25,128,
26,,126
27,131,123
28,,
29,,131
30,"135, 133",
31,"137, 136","137, 133"
32,,135
33,,
34,138,"138, 136, 131, 128, 125, 123, 122, 118, 116, 115, 108, 95, 90, 89, 83, 82, 57, 45, 31"
35,,"39, 37, 36, 35, 33, 29, 26, 23, 22, 21, 19, 16, 14, 7, 6, 5"
36,,
37,140,"123, 115, 31"
38,,"138, 136, 3"
39,"143, 142",143
40,144,"144, 140, 9"
41,,
42,145,
43,,"123, 4"
44,148,122
45,,"148, 145, 142, 136, 135, 131, 128, 125, 118, 116, 115, 108, 95, 90, 89, 83, 82, 57, 45"
46,42,"42, 39, 37, 36, 35, 33, 29, 26, 23, 22, 21, 19, 16, 14, 7, 6, 5, 4, 3"
47,,
48,,
49,,
50,150,9
51,,148
52,,95
53,,
54,,
55,,150
56,141,"145, 142, 141, 136, 135, 131, 128, 125, 122, 118, 116, 115, 108, 95, 90, 89, 83, 82, 57, 45"
57,43,"43, 42, 39, 37, 35, 33, 32, 31, 29, 26, 23, 22, 21, 19, 16, 14, 9, 7, 6, 5, 4, 3"
58,,136
59,,141
60,,150
61,,90
62,157,145
63,"158, 155",118
64,,
65,,"158, 122"
66,,
67,,"157, 155, 150, 142, 135, 131, 128, 125, 116, 115, 108, 95, 89, 83, 82, 57, 45"
68,,"42, 39, 37, 33, 32, 31, 29, 26, 23, 22, 21, 19, 16, 14, 9, 7, 6, 5, 4, 3"
69,,
70,,"155, 150"
71,,
72,161,
73,,
74,,142
75,163,163
76,162,
77,,162
78,,"161, 157, 145, 142, 135, 131, 128, 125, 116, 115, 108, 95, 89, 83, 82, 57"
79,44,"44, 42, 39, 37, 33, 32, 31, 29, 26, 23, 22, 21, 19, 16, 14, 9, 7, 6, 5, 4, 3"
80,"166, 165",166
81,,
82,,
83,"167, 164","164, 142"
84,,167
85,168,165
86,,"166, 157"
87,,145
88,,"165, 164"
89,,"168, 166, 161, 157, 135, 131, 128, 125, 116, 115, 108, 95, 89, 83, 82, 57"
90,,"44, 42, 39, 37, 33, 32, 31, 29, 26, 23, 21, 19, 16, 14, 9, 7, 6, 5, 4, 3"
91,,
